,idade,dias_semana,horas_semana,grupo_estudos,ic,trabalho_TI,periodo_trabalho,media_final
0,25.0,4.0,20.0,0.0,0.0,1.0,1.0,4.556875576568057
1,25.0,4.0,25.0,1.0,1.0,0.0,0.0,5.574606296645236
2,35.0,3.0,16.0,1.0,0.0,0.0,1.0,3.998139246406888
3,27.0,2.0,9.0,0.0,0.0,1.0,1.0,2.2366152053713853
4,35.0,5.0,17.0,0.0,0.0,0.0,2.0,6.363091985033993
5,24.0,5.0,17.0,1.0,0.0,1.0,1.0,6.292130460339418
6,26.0,5.0,14.0,0.0,0.0,0.0,1.0,5.964782030018494
7,30.0,3.0,24.0,0.0,1.0,0.0,1.0,3.727759243550473
8,36.0,4.0,19.0,0.0,0.0,1.0,1.0,4.383790082973872
9,31.0,4.0,22.0,0.0,0.0,1.0,2.0,5.634363310949598
10,22.0,5.0,15.0,1.0,0.0,1.0,1.0,6.410163351203462
11,37.0,4.0,13.0,1.0,1.0,1.0,1.0,5.449574573536188
12,23.0,3.0,14.0,1.0,0.0,0.0,1.0,3.9136164398260536
13,33.0,4.0,15.0,1.0,0.0,0.0,1.0,4.767658688626898
14,30.0,5.0,18.0,0.0,0.0,0.0,0.0,6.933982962878729
15,25.0,4.0,14.0,1.0,1.0,0.0,1.0,4.970419978627492
16,29.0,4.0,16.0,1.0,0.0,0.0,2.0,5.617240566145589
17,17.0,4.0,19.0,0.0,0.0,0.0,0.0,4.949754939167537
18,28.0,4.0,17.0,0.0,0.0,0.0,1.0,4.302195937501762
19,27.0,3.0,15.0,0.0,0.0,0.0,1.0,2.953675247607244
20,33.0,4.0,13.0,0.0,0.0,0.0,0.0,5.381904593466138
21,28.0,3.0,17.0,1.0,0.0,0.0,0.0,4.0417014999030725
22,37.0,3.0,18.0,0.0,1.0,0.0,1.0,3.9098228968826634
23,31.0,5.0,18.0,0.0,0.0,1.0,1.0,6.122246673862815
24,30.0,4.0,10.0,1.0,1.0,0.0,1.0,4.752332352757428
25,24.0,4.0,17.0,0.0,1.0,0.0,1.0,4.9210280552662615
26,27.0,5.0,10.0,0.0,0.0,0.0,1.0,5.689781321275131
27,23.0,5.0,12.0,1.0,0.0,1.0,1.0,6.1279798168902335
28,36.0,5.0,11.0,1.0,0.0,0.0,0.0,6.387884569303732
29,24.0,4.0,8.0,1.0,0.0,1.0,1.0,5.162687534115894
30,32.0,4.0,13.0,1.0,0.0,0.0,0.0,4.905711265058514
31,31.0,5.0,20.0,0.0,0.0,0.0,0.0,5.949787254031408
32,27.0,3.0,21.0,0.0,1.0,1.0,1.0,3.353005375421644
33,24.0,5.0,15.0,0.0,0.0,0.0,1.0,5.876399859612632
34,31.0,5.0,11.0,1.0,0.0,0.0,1.0,6.407606808234293
35,33.0,4.0,14.0,0.0,0.0,0.0,1.0,4.465232387225718
36,30.0,5.0,10.0,1.0,1.0,0.0,0.0,6.425221901215018
37,24.0,5.0,17.0,1.0,0.0,0.0,2.0,6.298605223947553
38,28.0,3.0,13.0,0.0,0.0,0.0,1.0,3.806540642474693
39,25.0,4.0,4.0,1.0,1.0,0.0,1.0,5.130019422628257
40,34.0,3.0,15.0,1.0,0.0,1.0,2.0,3.5177038655240684
41,38.0,4.0,18.0,1.0,0.0,1.0,1.0,5.7210671174129715
42,31.0,5.0,22.0,1.0,0.0,0.0,1.0,6.618228797361698
43,32.0,3.0,13.0,1.0,0.0,0.0,1.0,4.375314223320635
44,32.0,6.0,11.0,1.0,1.0,1.0,0.0,7.744937592850045
45,28.0,4.0,20.0,1.0,0.0,0.0,1.0,5.122298969468511
