,idade,dias_semana,horas_semana,grupo_estudos,ic,trabalho_TI,periodo_trabalho,media_final
0,26.0,4.0,16.0,0.0,0.0,0.0,1.0,5.362675220115131
1,34.0,3.0,11.0,0.0,1.0,0.0,1.0,3.960558648112122
2,25.0,2.0,6.0,0.0,0.0,1.0,1.0,2.691847152602429
3,38.0,3.0,27.0,1.0,0.0,0.0,1.0,6.53985198805569
4,36.0,3.0,14.0,1.0,0.0,0.0,1.0,4.523491662808073
5,23.0,5.0,12.0,0.0,1.0,1.0,1.0,6.889077142111312
6,31.0,5.0,20.0,0.0,1.0,1.0,1.0,10.0
7,32.0,4.0,19.0,0.0,0.0,1.0,0.0,9.554150502735206
8,17.0,3.0,13.0,0.0,0.0,1.0,1.0,5.288400595304481
9,31.0,2.0,20.0,1.0,1.0,0.0,1.0,3.8252442586034303
10,28.0,2.0,22.0,0.0,0.0,1.0,1.0,5.33056610004994
11,33.0,2.0,15.0,0.0,0.0,0.0,1.0,4.237832611758877
12,34.0,3.0,22.0,0.0,1.0,1.0,2.0,8.130746443022334
13,39.0,2.0,15.0,0.0,0.0,0.0,2.0,4.49984703805854
14,33.0,2.0,16.0,0.0,0.0,1.0,0.0,5.478872227130451
15,30.0,2.0,18.0,1.0,0.0,0.0,1.0,3.4577032964302
16,31.0,4.0,19.0,0.0,0.0,1.0,1.0,7.743254401709946
17,21.0,3.0,14.0,1.0,0.0,0.0,0.0,4.067831124115012
18,34.0,3.0,23.0,1.0,1.0,0.0,1.0,5.501000675292276
19,25.0,3.0,18.0,1.0,0.0,0.0,1.0,5.135903382638077
20,27.0,2.0,20.0,1.0,1.0,0.0,1.0,4.620211481449477
21,24.0,3.0,15.0,1.0,0.0,0.0,2.0,3.0683986036910986
22,30.0,4.0,13.0,0.0,0.0,0.0,2.0,5.097940359017801
23,25.0,2.0,14.0,1.0,1.0,0.0,1.0,3.882351733714586
24,26.0,4.0,19.0,1.0,1.0,1.0,1.0,6.71922704948501
25,26.0,3.0,15.0,1.0,1.0,1.0,1.0,6.714264968094211
26,29.0,4.0,17.0,0.0,0.0,1.0,1.0,8.239024813924063
27,26.0,4.0,9.0,0.0,1.0,0.0,1.0,4.643655151120062
28,33.0,5.0,8.0,1.0,0.0,1.0,1.0,6.374231555545668
29,34.0,3.0,16.0,1.0,0.0,1.0,1.0,7.77590446706782
30,28.0,5.0,14.0,1.0,1.0,1.0,1.0,8.228773134742363
31,35.0,4.0,10.0,0.0,1.0,0.0,1.0,3.356432279540976
32,23.0,4.0,25.0,0.0,0.0,0.0,1.0,6.9577204366288266
33,24.0,2.0,22.0,1.0,0.0,0.0,1.0,5.312016753996118
34,36.0,5.0,16.0,0.0,1.0,1.0,2.0,8.042888980037159
35,29.0,2.0,14.0,0.0,0.0,1.0,2.0,7.046868985237549
36,31.0,2.0,11.0,0.0,1.0,0.0,2.0,2.3405892774664436
37,32.0,3.0,6.0,0.0,0.0,0.0,2.0,1.1468976792338914
38,28.0,5.0,16.0,1.0,0.0,1.0,1.0,7.89144394164643
39,31.0,5.0,15.0,0.0,0.0,1.0,1.0,7.5019413647763
40,30.0,3.0,21.0,0.0,0.0,1.0,1.0,7.197739763058616
41,30.0,3.0,15.0,1.0,0.0,0.0,1.0,3.9511167836304564
42,29.0,4.0,16.0,0.0,0.0,1.0,2.0,7.749585325930903
43,31.0,4.0,13.0,1.0,0.0,0.0,1.0,4.7655974919966
44,34.0,3.0,18.0,1.0,0.0,0.0,2.0,5.957274534576314
45,26.0,3.0,19.0,1.0,0.0,1.0,1.0,6.376561630484286
46,30.0,4.0,18.0,1.0,1.0,1.0,1.0,7.595183787901018
47,29.0,1.0,15.0,0.0,0.0,1.0,1.0,3.6266279676893083
48,33.0,3.0,21.0,0.0,0.0,1.0,1.0,6.488364291351328
49,27.0,2.0,17.0,1.0,0.0,1.0,1.0,5.151111381330852
50,35.0,3.0,11.0,0.0,0.0,1.0,1.0,4.746729031636542
51,23.0,2.0,12.0,0.0,0.0,0.0,1.0,2.2954760387280717
52,28.0,4.0,14.0,1.0,0.0,1.0,1.0,6.796754233963747
53,37.0,3.0,14.0,1.0,0.0,0.0,1.0,3.6132652052037098
54,34.0,3.0,14.0,0.0,1.0,0.0,1.0,5.274532770483292
55,38.0,3.0,16.0,0.0,0.0,1.0,1.0,6.740571632008351
56,30.0,5.0,24.0,0.0,1.0,0.0,1.0,8.864087220574792
57,31.0,2.0,16.0,0.0,0.0,0.0,0.0,4.420191800999763
58,30.0,2.0,7.0,1.0,0.0,1.0,2.0,3.1870865423167274
59,21.0,1.0,16.0,0.0,1.0,0.0,1.0,2.986886172090901
60,32.0,3.0,23.0,0.0,0.0,1.0,1.0,7.782082464639885
61,21.0,4.0,10.0,1.0,0.0,0.0,1.0,3.6280978355167113
62,38.0,5.0,21.0,0.0,1.0,0.0,2.0,8.359197831031524
63,24.0,2.0,16.0,1.0,1.0,1.0,2.0,3.94763136167505
