idade,dias_semana,horas_semana,grupo_estudos,ic,trabalho_TI,periodo_trabalho,media_final
26.0,4.0,16.0,0.0,0.0,0.0,1.0,5.362675220115131
34.0,3.0,11.0,0.0,1.0,0.0,1.0,3.960558648112122
25.0,2.0,6.0,0.0,0.0,1.0,1.0,2.691847152602429
38.0,3.0,27.0,1.0,0.0,0.0,1.0,6.53985198805569
36.0,3.0,14.0,1.0,0.0,0.0,1.0,4.523491662808073
23.0,5.0,12.0,0.0,1.0,1.0,1.0,6.889077142111312
31.0,5.0,20.0,0.0,1.0,1.0,1.0,10.0
32.0,4.0,19.0,0.0,0.0,1.0,0.0,9.554150502735206
17.0,3.0,13.0,0.0,0.0,1.0,1.0,5.288400595304481
31.0,2.0,20.0,1.0,1.0,0.0,1.0,3.8252442586034303
28.0,2.0,22.0,0.0,0.0,1.0,1.0,5.33056610004994
33.0,2.0,15.0,0.0,0.0,0.0,1.0,4.237832611758877
34.0,3.0,22.0,0.0,1.0,1.0,2.0,8.130746443022334
39.0,2.0,15.0,0.0,0.0,0.0,2.0,4.49984703805854
33.0,2.0,16.0,0.0,0.0,1.0,0.0,5.478872227130451
30.0,2.0,18.0,1.0,0.0,0.0,1.0,3.4577032964302
31.0,4.0,19.0,0.0,0.0,1.0,1.0,7.743254401709946
21.0,3.0,14.0,1.0,0.0,0.0,0.0,4.067831124115012
34.0,3.0,23.0,1.0,1.0,0.0,1.0,5.501000675292276
25.0,3.0,18.0,1.0,0.0,0.0,1.0,5.135903382638077
27.0,2.0,20.0,1.0,1.0,0.0,1.0,4.620211481449477
24.0,3.0,15.0,1.0,0.0,0.0,2.0,3.0683986036910986
30.0,4.0,13.0,0.0,0.0,0.0,2.0,5.097940359017801
25.0,2.0,14.0,1.0,1.0,0.0,1.0,3.882351733714586
26.0,4.0,19.0,1.0,1.0,1.0,1.0,6.71922704948501
26.0,3.0,15.0,1.0,1.0,1.0,1.0,6.714264968094211
29.0,4.0,17.0,0.0,0.0,1.0,1.0,8.239024813924063
26.0,4.0,9.0,0.0,1.0,0.0,1.0,4.643655151120062
33.0,5.0,8.0,1.0,0.0,1.0,1.0,6.374231555545668
34.0,3.0,16.0,1.0,0.0,1.0,1.0,7.77590446706782
28.0,5.0,14.0,1.0,1.0,1.0,1.0,8.228773134742363
35.0,4.0,10.0,0.0,1.0,0.0,1.0,3.356432279540976
23.0,4.0,25.0,0.0,0.0,0.0,1.0,6.9577204366288266
24.0,2.0,22.0,1.0,0.0,0.0,1.0,5.312016753996118
36.0,5.0,16.0,0.0,1.0,1.0,2.0,8.042888980037159
29.0,2.0,14.0,0.0,0.0,1.0,2.0,7.046868985237549
31.0,2.0,11.0,0.0,1.0,0.0,2.0,2.3405892774664436
32.0,3.0,6.0,0.0,0.0,0.0,2.0,1.1468976792338914
28.0,5.0,16.0,1.0,0.0,1.0,1.0,7.89144394164643
31.0,5.0,15.0,0.0,0.0,1.0,1.0,7.5019413647763
30.0,3.0,21.0,0.0,0.0,1.0,1.0,7.197739763058616
30.0,3.0,15.0,1.0,0.0,0.0,1.0,3.9511167836304564
29.0,4.0,16.0,0.0,0.0,1.0,2.0,7.749585325930903
31.0,4.0,13.0,1.0,0.0,0.0,1.0,4.7655974919966
34.0,3.0,18.0,1.0,0.0,0.0,2.0,5.957274534576314
26.0,3.0,19.0,1.0,0.0,1.0,1.0,6.376561630484286
30.0,4.0,18.0,1.0,1.0,1.0,1.0,7.595183787901018
29.0,1.0,15.0,0.0,0.0,1.0,1.0,3.6266279676893083
33.0,3.0,21.0,0.0,0.0,1.0,1.0,6.488364291351328
27.0,2.0,17.0,1.0,0.0,1.0,1.0,5.151111381330852
35.0,3.0,11.0,0.0,0.0,1.0,1.0,4.746729031636542
23.0,2.0,12.0,0.0,0.0,0.0,1.0,2.2954760387280717
28.0,4.0,14.0,1.0,0.0,1.0,1.0,6.796754233963747
37.0,3.0,14.0,1.0,0.0,0.0,1.0,3.6132652052037098
34.0,3.0,14.0,0.0,1.0,0.0,1.0,5.274532770483292
38.0,3.0,16.0,0.0,0.0,1.0,1.0,6.740571632008351
30.0,5.0,24.0,0.0,1.0,0.0,1.0,8.864087220574792
31.0,2.0,16.0,0.0,0.0,0.0,0.0,4.420191800999763
30.0,2.0,7.0,1.0,0.0,1.0,2.0,3.1870865423167274
21.0,1.0,16.0,0.0,1.0,0.0,1.0,2.986886172090901
32.0,3.0,23.0,0.0,0.0,1.0,1.0,7.782082464639885
21.0,4.0,10.0,1.0,0.0,0.0,1.0,3.6280978355167113
38.0,5.0,21.0,0.0,1.0,0.0,2.0,8.359197831031524
24.0,2.0,16.0,1.0,1.0,1.0,2.0,3.94763136167505
26.0,4.0,5.0,1.0,0.0,0.0,1.0,3.5273772130153134
37.0,2.0,17.0,1.0,1.0,0.0,0.0,4.7121035567327665
33.0,3.0,23.0,0.0,1.0,1.0,1.0,8.877275817097352
22.0,3.0,15.0,1.0,1.0,0.0,1.0,3.907202076953784
27.0,3.0,9.0,0.0,0.0,0.0,1.0,0.922536927274181
27.0,3.0,17.0,1.0,0.0,1.0,1.0,6.578533105470896
26.0,5.0,10.0,1.0,0.0,0.0,1.0,4.447095705632627
22.0,2.0,21.0,0.0,0.0,0.0,1.0,5.288285480647164
24.0,4.0,15.0,0.0,0.0,1.0,1.0,7.915256955885706
42.0,5.0,10.0,1.0,0.0,1.0,2.0,6.824891455829029
29.0,4.0,9.0,1.0,1.0,0.0,1.0,5.132523727812295
17.0,1.0,14.0,0.0,1.0,1.0,2.0,3.0509541532650712
33.0,2.0,21.0,1.0,0.0,0.0,2.0,5.502925042113298
31.0,2.0,16.0,0.0,0.0,0.0,1.0,4.1047697355854185
25.0,4.0,14.0,1.0,1.0,0.0,1.0,5.0323706974922695
32.0,4.0,18.0,0.0,1.0,0.0,1.0,6.84208026730063
32.0,3.0,17.0,1.0,0.0,1.0,1.0,6.2297549264170415
31.0,3.0,20.0,1.0,0.0,1.0,1.0,6.987370094116548
29.0,1.0,23.0,0.0,0.0,0.0,1.0,5.006924121819126
31.0,2.0,16.0,0.0,0.0,0.0,1.0,4.323257364871676
31.0,4.0,21.0,0.0,0.0,0.0,1.0,6.938587204345117
30.0,2.0,12.0,0.0,0.0,1.0,1.0,4.729375190734372
34.0,5.0,20.0,1.0,0.0,0.0,1.0,6.948408177091208
36.0,3.0,19.0,0.0,0.0,1.0,1.0,6.7277820806666275
27.0,2.0,26.0,1.0,0.0,1.0,1.0,7.109272088288316
27.0,5.0,14.0,1.0,0.0,0.0,1.0,4.4905228314152
30.0,3.0,20.0,0.0,1.0,1.0,0.0,6.088667841990082
27.0,3.0,19.0,0.0,0.0,1.0,1.0,5.87519479934106
34.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0
26.0,2.0,16.0,1.0,0.0,1.0,2.0,4.2569397838384395
34.0,3.0,18.0,0.0,0.0,0.0,1.0,5.198586350366579
27.0,4.0,18.0,0.0,1.0,1.0,2.0,8.412616458580857
36.0,2.0,18.0,1.0,0.0,1.0,1.0,6.769676941233691
22.0,3.0,22.0,1.0,0.0,0.0,2.0,6.37292140682099
34.0,4.0,16.0,1.0,0.0,1.0,0.0,7.072811537348175
36.0,4.0,11.0,1.0,1.0,1.0,0.0,5.792062495420519
35.0,1.0,22.0,0.0,1.0,0.0,2.0,2.6148582176076998
38.0,4.0,17.0,0.0,0.0,0.0,1.0,6.2327628486053515
29.0,3.0,21.0,1.0,0.0,0.0,0.0,5.791774425807682
30.0,2.0,19.0,1.0,0.0,1.0,1.0,5.611614236756948
